split,sample_id,location,selected,category,figure,iou_water_5sa,iou_water_v3,delta_iou_water,f1_water_5sa,f1_water_v3,viol_frac_5sa,viol_frac_v3,delta_viol_frac,viol_pairs_5sa,viol_pairs_v3,desc_pairs,water_frac_5sa,water_frac_v3
test,Paraguay_511199,Paraguay,False,,,0.3896985204138391,0.3839168547582804,-0.00578166565555871,0.5608389369196285,0.5548264744926986,0.002023954911100791,0.0018825265226008298,-0.00014142838849996102,1059,985,523233,0.05126953125,0.056537628173828125
bolivia,Bolivia_360519,Bolivia,False,,,0.4083975725766771,0.40086275762901424,-0.007534814947662838,0.5799464306509841,0.5723083941605839,0.0009905737632134055,0.000854419202134272,-0.00013615456107913344,502,433,506777,0.02277136931256912,0.02348371252818872
test,Paraguay_59731,Paraguay,False,,,0.6667507568113017,0.6585365853658537,-0.008214171445448004,0.8000605418495536,0.7941176470588235,0.00044013822719459465,0.0003152341356934259,-0.00012490409150116874,222,159,504387,0.015008448853146415,0.014965422286197077
valid,Pakistan_9684,Pakistan,False,,,0.19328859060402684,0.13161559888579388,-0.061672991718232956,0.32395950506186727,0.23261538461538464,0.000456746545577097,0.00033258243609982796,-0.00012416410947726906,103,75,225508,0.0051254953764861295,0.0037780713342140024
valid,Nigeria_984831,Nigeria,False,,,0.9545674977827681,0.9533994247598067,-0.0011680730229614023,0.9767557261292997,0.9761438573957175,0.002627143525113361,0.002507530202363994,-0.00011961332274936691,1208,1153,459815,0.9397938024134112,0.9377451511088534
test,Mekong_333434,Mekong,False,,,0.25627906976744186,0.2438563327032136,-0.01242273706422825,0.40799703813402444,0.39209726443768994,0.0007951772499788781,0.0006759006624820464,-0.00011927658749683165,320,272,402426,0.010426666272836024,0.009747308413699399
test,Paraguay_683296,Paraguay,False,,,0.6915173237753883,0.6931722054380665,0.0016548816626781315,0.817629608701794,0.8187852401684391,0.0003939500251853623,0.0002802729034900836,-0.00011367712169527871,201,143,510217,0.025999892132615245,0.025433588362650146
test,Ghana_97059,Ghana,False,,,0.0,0.0,0.0,,,0.0002026715799170889,9.212344541685859e-05,-0.00011054813450023032,11,5,54275,0.0020077389209315908,0.0014236694166605826
bolivia,Bolivia_103757,Bolivia,False,,,0.7802235281771435,0.7776234770077296,-0.002600051169413864,0.876545575123425,0.8749023480683342,0.003997761253697929,0.0038892505910975567,-0.00010851066260037217,700,681,175098,0.36891583500800434,0.3687795905855104
valid,USA_366607,USA,False,,,0.9337367091581977,0.9303296358719084,-0.0034070732862893083,0.965733033598639,0.963907530178584,0.0007027502163612,0.0005965468074577389,-0.00010620340890346114,311,264,442547,0.18856026764426506,0.1875798717474317
